Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
FOS,4.662581093201432,3.841600541131603,4.981034824319975,9.210340371976184
KLF6,9.210340371976184,7.060476365999855,9.210340371976184,7.060476365999855
ELF1,7.060476365999855,9.210340371976184,6.3673291854399094,6.3673291854399094
SP2,5.451038453565708,4.757891273005763,7.060476365999855,4.981034824319975
SP1,6.3673291854399094,5.961864077331706,5.674182004879936,5.26871689677176
NFYA,3.9249821500706545,6.3673291854399094,4.352426164897598,3.728271855824597
JUN,5.961864077331706,5.26871689677176,4.116037386833365,5.961864077331706
ZFX,3.802379827978319,3.0174250981652517,5.961864077331706,4.287887643760023
SP3,4.981034824319975,3.882422535651856,4.757891273005763,5.674182004879936
NRF1,3.728271855824597,5.674182004879936,3.299276250306241,3.534115841383642
VEZF1,5.674182004879936,4.863251788663584,4.863251788663584,3.969433912641486
SP4,5.114566216944492,4.495527008538264,5.451038453565708,4.495527008538264
ZNF354C,2.155201587561372,5.451038453565708,2.1046493083985407,3.6931805360133287
ZNF281,4.575569716211806,3.802379827978319,3.841600541131603,5.451038453565708
ZNF460,4.495527008538264,4.421419036384546,5.26871689677176,4.575569716211806
KLF12,5.26871689677176,5.114566216944492,4.495527008538264,4.863251788663584
ZNF267,2.770016924851411,3.969433912641486,5.114566216944492,3.5639688045333218
CTCF,4.116037386833365,4.981034824319975,4.170104608103639,5.114566216944492
EGR1,4.863251788663584,4.227263021943591,4.0159539282763825,3.5947404632000777
ELK4,4.757891273005763,3.7646394999954738,3.7646394999954738,4.352426164897598
ETS1,4.352426164897598,4.662581093201432,4.064744092445811,4.757891273005763
JUNB,3.882422535651856,3.210328764289744,3.802379827978319,4.662581093201432
EGR2,4.064744092445811,3.626489161514656,4.662581093201432,4.421419036384546
ZNF180,2.666027211327363,2.5171815837297977,4.575569716211806,4.227263021943591
KLF10,4.421419036384546,4.575569716211806,3.3969147198701544,3.841600541131603
NFYC,4.0159539282763825,4.064744092445811,4.421419036384546,4.0159539282763825
NFYB,3.0174250981652517,4.352426164897598,3.969433912641486,3.1892753550919104
ZNF341,1.9188128094971413,2.7564112727956314,4.287887643760023,3.7646394999954738
ATF3,3.4495584533555768,4.287887643760023,2.94960250182649,3.4228902062734172
KLF2,4.287887643760023,3.035124675264652,2.298302431202045,1.5882056923283265
ZNF548,3.168656067889176,1.7571714579407254,4.227263021943591,3.3715969118858666
ZNF143,4.227263021943591,4.0159539282763825,2.7429882524634914,3.802379827978319
KLF9,4.170104608103639,2.7838102469837462,3.9249821500706545,2.606129069746294
ZNF770,3.5947404632000777,4.170104608103639,3.2538138762294837,3.626489161514656
ZNF331,3.841600541131603,3.659278984337649,3.231834969510707,4.170104608103639
SREBF2,3.035124675264652,4.116037386833365,3.5947404632000777,3.231834969510707
STAT3,3.322806747716434,2.6537571187355478,2.770016924851411,4.116037386833365
ZNF148,3.969433912641486,3.3969147198701544,3.0000333554533833,4.064744092445811
ZBTB17,2.966131803777702,3.1286507332754763,2.6537571187355478,3.9249821500706545
YY1,2.7429882524634914,3.9249821500706545,3.882422535651856,3.168656067889176
TCF12,3.1484533605716556,3.728271855824597,3.210328764289744,3.882422535651856
ZNF76,3.7646394999954738,3.1892753550919104,3.035124675264652,3.322806747716434
TCF7,3.0531431807673313,2.7166709441461183,3.728271855824597,3.346904299295493
ZNF891,1.9853025507659743,1.4921318622387043,3.6931805360133287,1.7374663868613927
ZBTB33,3.6931805360133287,3.6931805360133287,2.549616859482951,3.0531431807673313
ZNF441,1.5390154481375544,1.3434486645935793,3.659278984337649,1.4473482596117309
KLF3,3.659278984337649,2.369128483770658,2.5718399962676615,2.617825109509485
BCL6,2.5945682473452174,1.8675195151095907,3.322806747716434,3.659278984337649
FLI1,3.626489161514656,3.4495584533555768,3.346904299295493,2.7564112727956314
E2F4,1.644375963795381,3.346904299295493,3.626489161514656,3.4769574275436934
MZF1,3.0901844524476805,3.5947404632000777,2.6416357582032037,2.797796488958487
GABPA,3.5639688045333218,2.18527904279865,2.4453558491585423,3.505128304510388
ZNF571,2.5278768728465453,3.5639688045333218,2.9829389220940823,2.886089096104164
PBX3,3.2538138762294837,1.8619793347339757,3.5639688045333218,3.2538138762294837
KLF13,2.4755088873292292,2.378345138875581,3.534115841383642,2.256455321266545
YBX1,3.210328764289744,3.534115841383642,3.1092326474183736,3.035124675264652
DNMT1,3.534115841383642,3.505128304510388,3.0901844524476805,2.9333419809547108
ATF6B,3.505128304510388,2.917341639608269,3.3715969118858666,3.299276250306241
ELF4,2.5386877889507615,3.0714923194355266,3.505128304510388,2.6910285135327805
CREM,3.4769574275436934,3.4769574275436934,2.855783746608835,2.917341639608269
ELK3,3.1092326474183736,3.231834969510707,3.4769574275436934,3.0714923194355266
GTF2I,2.560666695669537,1.9305776510767276,3.4495584533555768,2.18527904279865
IRF3,2.629659567156489,2.416085466858428,2.425747377770166,3.4495584533555768
CREB1,2.9333419809547108,3.4228902062734172,2.840968660823695,2.9829389220940823
IKZF1,3.4228902062734172,2.629659567156489,2.6784497313259195,2.8263698614025414
ELK1,3.346904299295493,2.6784497313259195,3.4228902062734172,3.1484533605716556
ZNF846,3.3969147198701544,1.8347296922865999,2.4355035527155304,2.5718399962676615
SATB1,3.299276250306241,2.5065994743992603,2.8263698614025414,3.3969147198701544
ATF4,3.3715969118858666,2.9015932826401305,2.3242779176053063,2.8708216239733764
AHR,1.4732277075995517,3.3715969118858666,1.9424825535830461,1.8675195151095907
REST,2.840968660823695,3.322806747716434,2.7564112727956314,3.0174250981652517
ZNF322,1.366744227197101,3.299276250306241,2.3155442376365514,2.049841071903546
MAZ,2.7564112727956314,3.0531431807673313,2.397037271887734,3.2762867320815405
HIF1A,2.5831395515215956,3.2762867320815405,2.8708216239733764,2.5065994743992603
ELF2,3.2762867320815405,2.855783746608835,2.7166709441461183,2.72974302571347
ZNF100,2.2729846232177553,3.1484533605716556,3.2762867320815405,2.7838102469837462
ZNF776,2.3068861748934375,3.2538138762294837,1.6805790124593416,1.9305776510767276
ZNF467,3.231834969510707,2.0431965291848764,1.9129818891863484,1.8564696789230057
MAF,1.6759813032107118,2.0632640922356864,2.6910285135327805,3.210328764289744
ZNF333,2.797796488958487,1.6094379124341005,3.1892753550919104,3.0000333554533833
ZNF611,3.1892753550919104,2.666027211327363,2.3876475315378953,3.1092326474183736
ZNF519,2.9015932826401305,3.168656067889176,1.924677928949539,2.855783746608835
RFX5,2.023523763586172,2.886089096104164,3.168656067889176,2.2729846232177553
ETV6,2.126002432869109,2.5718399962676615,3.1484533605716556,2.45530618001171
ZNF121,2.3242779176053063,2.9333419809547108,3.1286507332754763,2.666027211327363
ZEB1,2.549616859482951,2.4755088873292292,1.8029809939720194,3.1286507332754763
LEF1,3.1286507332754763,2.840968660823695,2.496128174531965,2.3068861748934375
ZNF543,2.886089096104164,3.1092326474183736,2.8119811239504426,2.5831395515215956
KLF7,2.94960250182649,3.0901844524476805,2.5945682473452174,2.397037271887734
KLF4,2.855783746608835,2.770016924851411,3.0531431807673313,3.0901844524476805
ZNF783,1.8956903920762869,2.1332226808425965,3.0714923194355266,1.3768965986611195
ZSCAN22,3.0714923194355266,2.208446102080184,2.7838102469837462,1.6668488196474394
NFATC1,2.3876475315378953,2.256455321266545,3.0174250981652517,2.94960250182649
THAP11,3.0000333554533833,2.298302431202045,2.5171815837297977,2.359996000207385
ZNF394,2.9829389220940823,3.0000333554533833,2.797796488958487,2.425747377770166
PAX5,2.2241944590483236,2.9829389220940823,2.5386877889507615,1.4510045708148414
ZSCAN30,2.617825109509485,2.966131803777702,1.9667261651930392,2.770016924851411
ZNF484,2.6910285135327805,2.617825109509485,2.966131803777702,2.369128483770658
HMGA1,2.7037675393102094,2.281352872888272,2.606129069746294,2.966131803777702
TGIF1,1.7874768074360543,2.94960250182649,1.6623136644820482,1.8240344031698517
PRDM1,2.9829389220940823,2.6784497313259195,5.114566216944492,3.2762867320815405
IRF1,4.863251788663584,4.757891273005763,4.981034824319975,4.116037386833365
FOXJ3,4.662581093201432,4.287887643760023,4.495527008538264,4.662581093201432
NR4A2,4.0159539282763825,4.575569716211806,3.728271855824597,3.882422535651856
ZNF22,4.421419036384546,4.064744092445811,3.841600541131603,4.170104608103639
STAT2,3.4495584533555768,2.94960250182649,4.352426164897598,4.0159539282763825
NR4A1,4.170104608103639,3.5947404632000777,3.505128304510388,2.886089096104164
STAT6,3.802379827978319,3.4769574275436934,4.170104608103639,3.5639688045333218
IRF2,2.5945682473452174,3.2762867320815405,4.064744092445811,2.855783746608835
IRF4,3.1892753550919104,2.855783746608835,4.0159539282763825,3.231834969510707
BATF,2.9015932826401305,3.346904299295493,2.94960250182649,3.969433912641486
ZFP82,2.966131803777702,1.2374304705167825,3.969433912641486,3.1484533605716556
FOXJ2,2.170127237778048,2.1626365660488895,3.882422535651856,2.8119811239504426
FOSB,3.3969147198701544,3.882422535651856,3.5947404632000777,3.2538138762294837
ZNF182,2.465356515865212,3.841600541131603,1.772209335305266,2.1626365660488895
GATA3,2.496128174531965,3.802379827978319,3.346904299295493,2.9015932826401305
FOXO1,3.7646394999954738,3.728271855824597,3.659278984337649,3.210328764289744
ZNF384,1.6267543624455614,2.8119811239504426,3.231834969510707,3.728271855824597
NR3C1,2.397037271887734,2.6416357582032037,2.1188339433904972,3.6931805360133287
SPIB,2.359996000207385,3.168656067889176,3.6931805360133287,1.5430234695350933
IKZF3,1.7621589994517646,3.659278984337649,2.840968660823695,2.496128174531965
SOX4,3.626489161514656,1.7823617067692838,1.33689126404742,2.72974302571347
FOXO3,3.035124675264652,3.0531431807673313,3.2538138762294837,3.505128304510388
IRF8,3.346904299295493,3.505128304510388,3.322806747716434,3.1286507332754763
IRF7,3.3715969118858666,1.818729350940159,3.210328764289744,3.3969147198701544
REL,2.770016924851411,3.3969147198701544,2.886089096104164,2.840968660823695
MEF2D,3.231834969510707,3.1286507332754763,2.797796488958487,3.3715969118858666
MEF2A,3.0000333554533833,3.210328764289744,1.6137389943334912,3.322806747716434
POU2F1,3.322806747716434,2.9015932826401305,3.1892753550919104,2.7564112727956314
BCL11A,3.2762867320815405,2.840968660823695,1.818729350940159,1.7133688352823324
POU2F2,1.8455406083908155,1.3600327926091147,3.2762867320815405,2.917341639608269
ZNF766,2.3419774947047065,3.231834969510707,2.350946164687467,2.416085466858428
NR2F6,3.210328764289744,1.1523934278308698,1.6355263485183984,1.6714046361833004
MEF2C,2.1776744434134305,3.1892753550919104,3.1484533605716556,1.9790720010153382
RUNX1,2.606129069746294,2.4355035527155304,3.168656067889176,2.350946164687467
RORA,1.818729350940159,3.1484533605716556,2.6537571187355478,1.9853025507659743
ZNF200,3.1484533605716556,2.3330885472874607,2.378345138875581,2.0976317357398937
ZNF713,1.6180586554780072,1.7621589994517646,3.1286507332754763,1.7229382862984832
NFAT5,2.3242779176053063,2.7166709441461183,3.0901844524476805,2.397037271887734
HSF1,2.7037675393102094,2.770016924851411,2.0976317357398937,3.0714923194355266
NFATC2,2.083742623579227,2.397037271887734,2.7429882524634914,3.0531431807673313
IRF9,2.2321626286974996,1.878692815707716,2.1626365660488895,3.035124675264652
FOXK1,3.0174250981652517,3.0000333554533833,2.010620358750264,2.8708216239733764
ZNF557,2.281352872888272,1.3303765830262266,3.0174250981652517,1.6533045945396823
ZNF354A,2.155201587561372,1.9667261651930392,2.966131803777702,2.7037675393102094
FOSL2,2.9333419809547108,1.9365123865965428,1.8029809939720194,0.7913800822935394
RELA,2.090663066423801,2.5718399962676615,2.5171815837297977,2.9333419809547108
RREB1,2.369128483770658,2.94960250182649,1.0131041869535231,1.9790720010153382
JUND,2.298302431202045,3.1092326474183736,2.1626365660488895,2.049841071903546
FOXN3,3.0901844524476805,2.1046493083985407,2.3330885472874607,2.606129069746294
ZNF274,2.966131803777702,2.4355035527155304,1.71814211403499,2.45530618001171
GTF2B,2.797796488958487,2.9015932826401305,2.017051249080555,2.2321626286974996
