Genes,Regulated
Sostdc1,up
Ascl2,up
Sbk2,up
Crppa,up
Rapgef5,up
Ptpn5,up
Ica1l,up
Popdc2,up
Sccpdh,up
Tox2,up
Angptl2,up
Gm31814,up
6430562O15Rik,up
Cebpa,up
Ces2c,up
Pipox,up
Lpar3,up
Spp1,up
Spock2,up
Tigit,up
Gna14,up
Padi4,up
Fam43a,up
Plagl1,up
Cxcr5,up
Vdr,up
Esm1,up
Pdcd1,up
Smtn,up
Slc7a10,up
8030451A03Rik,up
Krt17,up
Atp6v1g3,up
Tmem121,up
Clip3,up
Chrna1os,up
Il1r2,up
Scn8a,up
Gm9885,up
Sapcd2,up
Ryr1,up
Tnfrsf8,up
Fam20a,up
Akr1b8,up
6330403K07Rik,up
Jdp2,up
H2-Q2,up
Gm13528,up
Gpm6b,up
Cfap157,up
Gm11454,up
Naprt,up
Eea1,up
Rad54l,up
Chn1os3,up
Cd22,up
Gstt3,up
Ikzf2,up
Gng3,up
Cemip2,up
Kif11,up
Ccnb1-ps,up
Smim10l2a,up
Osbpl3,up
Mt3,up
Ly6m,up
Mef2b,up
Zfand4,up
Slc22a15,up
Hmmr,up
Ica1,up
Synpo,up
Melk,up
Pdzk1ip1,up
Gzmk,up
Fcrl1,up
Grhl1,up
Stx11,up
Esco2,up
Gas2l1,up
Egln3,up
Fam71b,up
Morn2,up
Mir146,up
Ccnb1,up
Ptrh1,up
Ckap2,up
S100a3,up
Rad51ap1,up
Il4,up
B4galnt4,up
Ncapg2,up
Ptpn13,up
Kif15,up
Dnase1l3,up
Zfp870,up
Tgfb3,up
Shcbp1,up
Exo1,up
Gm38979,up
Rnf128,up
Dusp14,up
Gm34093,up
Galr3,up
Ryk,up
Ttc39c,up
Bmp7,up
Wee1,up
Tbc1d4,up
Ifi204,up
Lag3,up
Cdk5r1,up
C1qtnf6,up
Rrm2,up
Endod1,up
Cdca5,up
Cdk1,up
Gm37004,up
Pcyox1l,up
Art2a,up
Fam241b,up
Ect2,up
Wnt10a,up
Dnph1,up
Aldoc,up
Flywch2,up
Nusap1,up
Sytl3,up
Gm8416,up
Ncapg,up
Atp1a3,up
Slc16a3,up
Abhd4,up
Sgo1,up
Bag2,up
Cenph,up
Cep55,up
Gm6091,up
Nrgn,up
Baiap3,up
Pxmp2,up
Ikzf3,up
Pbk,up
Jazf1,up
Ptger2,up
Csf1,up
Tpx2,up
Maf,up
Cd160,up
Prnp,up
Oip5,up
Marcksl1,up
Tk1,up
Nav2,up
Hmox1,up
Pclaf,up
Cxxc5,up
Arl6,up
Zfp839,up
Phactr2,up
Alcam,up
Casp4,up
Gm15428,up
Tiam1,up
Asb2,up
Klrb1c,up
Cdc45,up
Spc24,up
Ly96,up
Gabarapl1,up
Pdlim7,up
Rapsn,up
Tnfsf11,up
Chst2,up
Ube2c,up
Prelid2,up
Ccdc28b,up
Tnfsf8,up
Dhrs3,up
Bcl6,up
Prc1,up
Sh3rf1,up
Ccnb2,up
Gm17745,up
Top2a,up
Gm39556,up
Zfp821,up
Aurkb,up
Aurka,up
Rad51,up
Fignl1,up
Zdhhc2,up
Smpdl3b,up
2310001H17Rik,up
Rnf157,up
Pear1,up
Gm29240,up
Cdkn2c,up
Tbc1d31,up
Ptprs,up
Ccna2,up
BC064078,up
Gins2,up
Cd200,up
Cd83,up
Pou2af1,up
Atp9a,up
P2rx7,up
Mmd,up
Tnfrsf4,up
Spc25,up
Birc5,up
Ctla4,up
Zfp52,up
Matk,up
Gm14718,up
Slc46a1,up
Abcb10,up
Adap1,up
Tpi-rs10,up
Ccne1,up
Hip1r,up
Cdca3,up
S1pr2,up
Rnase4,up
Plekho1,up
Aplp1,up
Lig1,up
Casp1,up
Lgalsl,up
Hif1a,up
H1f0,up
Wdfy2,up
1500004A13Rik,up
Hells,up
Ptpn11,up
Kif22,up
Tnfsf14,up
Bcl2a1d,up
Ikbip,up
Icos,up
Pdcd1lg2,up
Gm7665,up
Susd2,up
Plscr1,up
Slc26a11,up
Ctnnbip1,up
Gemin8,up
St14,up
Nt5e,up
Slc25a13,up
S100a11,up
Ccdc34,up
Syt11,up
Nsmf,up
Tpi1,up
Anxa2,up
Fbxw8,up
Dhfr,up
Slc43a3,up
Aldh7a1,up
Gm12854,up
Cyfip1,up
Gm6104,up
Tacc3,up
Tspan5,up
Nr2f6,up
H2ac23,up
Gm5530,up
Decr1,up
Stard10,up
Gm15452,up
Sh2d1a,up
Izumo1r,up
Tmem38b,up
Bcl2a1b,up
Serinc5,up
Cks2,up
Tyms,up
Bspry,up
Stk39,up
Casp3,up
Bcl2a1a,up
Dus2,up
Nfatc1,up
Ccdc50-ps,up
Mfsd13a,up
Hmgb3,up
Cdc20,up
Abi2,up
A430093F15Rik,up
Racgap1,up
Tmem29,up
Ahi1,up
Gpr155,up
Slc39a4,up
Incenp,up
Carhsp1,up
Slc9a7,up
Ybx3,up
Zfp41,up
Plxnc1,up
Galnt9,up
Cxcr3,up
Slc9a9,up
Slc45a4,up
Adam19,up
Litaf,up
Mdfic,up
Mafg,up
Cks1b,up
Rilpl2,up
Rnf216,up
Trerf1,up
Egr2,up
Ccdc50,up
Asf1b,up
Tmem191c,up
Acot7,up
Mapre2,up
Cd38,up
Gstt2,up
Neu3,up
Mcm6,up
Gm9791,up
Kpna2,up
Synj2,up
Ncapd2,up
Il2rb,up
Rnf19a,up
Lnx2,up
Gcat,up
Nsd2,up
Akap12,up
Gm9115,up
Gmnn,up
Smox,up
Ms4a6d,up
Cibar1,up
Cdh23,up
Tox,up
Dck,up
Scd2,up
Cep43,up
Lax1,up
Pou2f2,up
Dynlt3,up
Pglyrp1,up
Nmral1,up
Ephx1,up
Cenpv,up
Cdca7,up
Myo1f,up
Dtl,up
Mms22l,up
Cst7,up
Rrm1,up
Gm13232,up
Clstn1,up
Asap1,up
Odc1,up
Maged2,up
Kctd17,up
Mcm5,up
Ttf2,up
Hmgb2,up
Gramd1b,up
Slamf6,up
Serpinb6b,up
Dennd2d,up
Tm7sf2,up
Ext1,up
Rnf135,up
Htatip2,up
Tstd3,up
Unc119,up
Slc29a1,up
Casp7,up
Hpcal1,up
Akr1e1,up
Usp6nl,up
Dlgap5,up
Magee1,up
Dcxr,up
Gm10184,up
Podnl1,up
Tfdp1,up
Sdcbp2,up
Timp2,up
Mrps6,up
Gng2,up
Hmgn3,up
St3gal2,up
Gm4739,up
Fuca2,up
Ppil1,up
Tmem140,up
Dstn,up
Alad,up
Gm7390,up
Fkbp5,up
Acsf3,up
Nsmaf,up
Tnfsf9,up
Prr13,up
Plk3,up
Ezh2,up
Snx2,up
Il3ra,up
Uap1l1,up
Lxn,up
Evi2a,up
Smc2,up
Atf6,up
Il12rb1,up
Tnfrsf9,up
Pgam1,up
Fut8,up
Mid1ip1,up
Batf,up
Pgam1-ps2,up
Btla,up
Rdh12,up
Malt1,up
Tnfaip8,up
Cisd1,up
Gm13464,up
AU020206,up
Lpxn,up
Ptms,up
Ctsb,up
Cep250,up
Ehd4,up
Twsg1,up
Rnaset2a,up
Setd4,up
Tipin,up
Rbbp8,up
Cdc25b,up
Id3,up
Sypl,up
Rasa1,up
Prkca,up
Galm,up
Nfkb1,up
Nelfe,up
Chaf1b,up
Jak2,up
Matn2,up
Gm12033,up
Wdhd1,up
Larp1b,up
Psat1,up
Rab8b,up
Tfrc,up
Rb1,up
Rfc5,up
Plgrkt,up
Ece1,up
Comt,up
Niban1,up
Rsph3b,up
Ddx28,up
Cd82,up
Pdk3,up
Gm9826,up
Sh3bgrl,up
Metrnl,up
Ptpn22,up
Samsn1,up
Rgs3,up
Raf1,up
Itgal,up
Spata13,up
Srgn,up
Kcna3,up
Pmvk,up
Pgk1,up
Gapdh,up
Dut,up
Atpif1,up
Rbms2,up
Eif4enif1,up
B9d2,up
Fyn,up
A630001G21Rik,up
Pfkp,up
Cers4,up
Ehd1,up
Blmh,up
Impa2,up
Ccr4,up
Slc43a2,up
Dap,up
Snx25,up
Sgsh,up
Pold3,up
Smap1,up
Gm12870,up
Scly,up
Dbi,up
Hnrnpll,up
Ide,up
Gm3219,up
Gna12,up
Slc39a6,up
Ptpn7,up
Slbp,up
Hivep3,up
Zwint,up
Hmces,up
Rtl8c,up
Tor3a,up
Unc119b,up
Stx6,up
Samd10,up
Apobec3,up
Nek7,up
Cmss1,up
Bcl7c,up
Pon2,up
Cmc2,up
Metap2,up
Dera,up
Dhrs1,up
Map2k3,up
Gm5881,up
Pnp,up
Tspan3,up
Adprm,up
Ntrk3,up
Tmem39b,up
Map4k1,up
Lmo4,up
Ankrd46,up
Cd44,up
Camk2d,up
Rpa1,up
Gstp3,up
Pkp3,up
Zap70,up
Desi2,up
Tceal9,up
Psen2,up
Gdi2,up
Mxd4,up
Dapp1,up
Etfb,up
Hmgb1,up
Nagk,up
Rnh1,up
Adprh,up
Dtx3,up
Azin1,up
Rap1a,up
Hacd3,up
Zbtb1,up
Cyb5r3,up
Elk3,up
Rnf149,up
Gpr107,up
Plekhb2,up
Gch1,up
Lrp10,up
Glrx,up
Tpm1,up
Pqlc3,up
Meaf6,up
Rnf41,up
Scpep1,up
Leprot,up
Timm17b,up
Efhd2,up
Tubg1,up
Sptlc1,up
3830406C13Rik,up
Ttc39b,up
Slc25a19,up
Dynll2,up
Lamtor4,up
Trpv2,up
Npepl1,up
Mif4gd,up
Ppt1,up
Rpn1,up
Frrs1,up
Prelid3b,up
Rtn3,up
Oaz2,up
Crlf2,up
Adam10,up
Tmem120a,up
Cd28,up
Ap1s1,up
Slc1a5,up
Nucb1,up
Calm3,up
Tnfrsf13b,up
Txn1,up
Smarcb1,up
Ak2,up
Cd5,up
Cd6,up
Usp1,up
Prkar1a,up
Ctsa,up
Ptp4a2,up
Ybx1,up
Siglech,down
Klk1,down
Aqp9,down
Dntt,down
Tbc1d16,down
Ampd1,down
Pdlim4,down
Smim5,down
Qpct,down
Cox6a2,down
Ly6c1,down
Cd177,down
Klra17,down
Gm21762,down
Btc,down
Cd300c,down
Tspan9,down
Amigo2,down
Gata1,down
Pid1,down
Cd209a,down
G0s2,down
Slamf9,down
Nacc2,down
A530021J07Rik,down
Cyp2d22,down
Adgrg3,down
Paqr5,down
Alox5ap,down
Cd209d,down
Gm33994,down
Art4,down
Dapk1,down
Gpr34,down
Cd93,down
Dapl1,down
Acvrl1,down
D13Ertd608e,down
Tyrobp,down
Hotairm1,down
Lrrc75b,down
Ggt5,down
St8sia6,down
Gm34006,down
Tifab,down
Tmem108,down
Ccnd1,down
Gm9889,down
Gm15050,down
Lbp,down
Fam240a,down
Lypd6b,down
Amz1,down
Gm15708,down
Elovl7,down
Gm568,down
Csf2rb2,down
Gm5086,down
2900005J15Rik,down
Tlr7,down
Gm12253,down
Hs3st1,down
Smad7,down
Gpr141,down
Vwce,down
Prf1,down
Atg4c,down
Cd300a,down
Acoxl,down
Klrd1,down
Gm16083,down
Vipr1,down
Hoxa7,down
Bach2it1,down
Adcy6,down
Fam186b,down
Arl4c,down
Gm33104,down
Kcnk1,down
Gm12592,down
Grk3,down
Il7r,down
Tbc1d9,down
Sell,down
Ncr1,down
Cd200r3,down
Ust,down
Auts2,down
Ifitm6,down
Adh1,down
B430306N03Rik,down
Itgb3,down
Srms,down
Myl10,down
Ccr9,down
Gm4951,down
Tbc1d8,down
Fcer1g,down
Treml2,down
Iftap,down
Spef2,down
Scml4,down
Ccr7,down
Tdrp,down
Jaml,down
P4ha2,down
Epb41l1,down
Rasl11b,down
Actn2,down
Wfdc17,down
Tent5a,down
Hp,down
Tsc22d3,down
D930028M14Rik,down
Pifo,down
E430014B02Rik,down
C230096K16Rik,down
Gm6934,down
Khdrbs3,down
Tgtp1,down
Gm8812,down
Clec4a3,down
Tet1,down
Adam23,down
Tle1,down
Lair1,down
G430095P16Rik,down
Slpi,down
Gm15441,down
Tafa3,down
Chil5,down
Znrf3,down
Padi2,down
Rgmb,down
Gm2682,down
Ifngr2,down
Il4ra,down
Cd55,down
Ccl9,down
Aqp11,down
Hid1,down
F730311O21Rik,down
Mgst3,down
Gbp11,down
A630081D01Rik,down
Rara,down
Gm10640,down
Scg5,down
Gm45552,down
Gm11346,down
E030030I06Rik,down
Mmp25,down
C230085N15Rik,down
Enpp4,down
Ly6d,down
5830468F06Rik,down
Sema4a,down
Arhgap29,down
Fgl2,down
Gbp10,down
Rnf130,down
Als2cl,down
Cd7,down
Pik3r5,down
Nedd4,down
Lyz2,down
Gm34086,down
Adrb2,down
Ly6k,down
Myo6,down
Cnn3,down
Plac8,down
Gm32633,down
Ifit1bl2,down
Satb1,down
Sgk3,down
Il18bp,down
Ifit1bl1,down
Ccl6,down
Klf2,down
Galnt10,down
5830444F18Rik,down
Pltp,down
Prkd3,down
Acss2,down
Gpr18,down
Tmie,down
Bach2,down
Pik3ip1,down
Emp3,down
Gm19261,down
Taf4b,down
Gprc5b,down
S1pr1,down
Gm14861,down
Zfp652,down
1810041H14Rik,down
Txk,down
Mob3b,down
Nedd4l,down
Rasgrp2,down
L1cam,down
Gm4258,down
Gvin-ps6,down
Slc49a4,down
Rtn4rl1,down
App,down
Gm20559,down
Thra,down
Gm17936,down
Gm10125,down
Gm4815,down
Abcg3,down
Mir1904,down
BC043934,down
Vps37b,down
Oasl1,down
9430081H08Rik,down
Slc16a5,down
Slc17a9,down
Gm13546,down
Pag1,down
Rab3ip,down
Crim1,down
Atp1b1,down
Mgat4a,down
Tbxa2r,down
Slc28a2b,down
Rcn3,down
Rras2,down
Ubxn11,down
Cd8b1,down
D830025C05Rik,down
Pdlim1,down
Trat1,down
Ramp1,down
Itga6,down
Flt3l,down
Npc2,down
Slfn8,down
Rnf122,down
Gm5864,down
Actn1,down
Gm4510,down
A930005H10Rik,down
Letm2,down
Rps19-ps8,down
H2aw,down
Selplg,down
Esyt1,down
Sdc3,down
Tmem64,down
Txnip,down
Gm10130,down
Ifi208,down
Pdk1,down
Ssbp2,down
Smpd5,down
Rps19-ps2,down
Ppp3ca,down
Cmah,down
Gbp8,down
Laptm4b,down
Gvin3,down
Usp18,down
Gm29736,down
Tec,down
Bcl2,down
Ifngr1,down
4930523C07Rik,down
Grap2,down
D730003I15Rik,down
Gm29243,down
Rps19-ps4,down
Rps19-ps5,down
Rps19-ps12,down
Gm12250,down
Arhgef18,down
Prkce,down
Ifi213,down
Ppp1r13b,down
Rps19-ps11,down
Oasl2,down
Bst2,down
Fndc10,down
Slc25a23,down
Ddr1,down
Tgtp2,down
Rps19-ps10,down
Tut4,down
Iigp1,down
Rps19-ps1,down
Lef1,down
Ppm1j,down
Gm11956,down
Klf13,down
Lfng,down
Rasa3,down
Cacna2d4,down
Rps19-ps7,down
Rps19-ps3,down
Rps19-ps6,down
Ttc28,down
Ifi206,down
Rabac1,down
Gm5735,down
Rps19,down
1700025G04Rik,down
Gm5654,down
Gbp6,down
Plcxd2,down
Sidt1,down
Fam78a,down
Gm12058,down
Gm4997,down
Nckap5l,down
Gm8662,down
Ecm1,down
Gm13842,down
Myc,down
Tuba4a,down
Macf1,down
Gm6134,down
Gm19243,down
Gpr65,down
A930006K02Rik,down
Eif4e3,down
Gucd1,down
Klhdc1,down
Irgm2,down
Rapgef6,down
Rps29-ps,down
Klf7,down
Blvrb,down
Gm10689,down
Plec,down
Gm7043,down
Adgre5,down
Rrad,down
Otulinl,down
Impdh1,down
Ptov1,down
Chd7,down
Tmem71,down
Ppm1h,down
Itgb7,down
Aqp3,down
Dipk1a,down
Gramd3,down
Ifit1,down
Gm7618,down
Gm6218,down
Ifit2,down
Gm7117,down
Gm13935,down
Gm9701,down
Ldlr,down
Gm8292,down
Dph5,down
Gm11285,down
Gm7079,down
Macrod1,down
Cytip,down
Ifi47,down
Gm38247,down
Gm13321,down
Relt,down
Plekha1,down
Gm28530,down
Gm15793,down
Gm6440,down
Vmn2r97,down
Gm6450,down
Kcnmb4,down
Rpl12-ps1,down
Calcrl,down
Ankrd50,down
Ripor2,down
Gm14251,down
Sgms1,down
Gm6030,down
Gm10059,down
Smad1,down
Me2,down
Gm7424,down
Gm3511,down
Rps20,down
Rpl30-ps1,down
Gm2581,down
H2-T24,down
Mgst2,down
Apol7e,down
Gm10443,down
Particl,down
Rps24-ps2,down
Rps29,down
Samd8,down
Rpl12,down
Add3,down
Rps23,down
Foxo1,down
Siah1a,down
Rab20,down
Khk,down
Gm9493,down
Mylip,down
Rpl32-ps,down
Gm4859,down
Rpl30-ps3,down
Gpr146,down
Gm14303,down
Gm1848,down
Gm4332,down
Gm10275,down
Card6,down
Atp1b3,down
Rps7-ps3,down
Slfn1,down
Rps13,down
Gm4883,down
Rps11-ps4,down
Ugcg,down
Gm13623,down
Gm9396,down
Gm6252,down
Rps18-ps3,down
Rps4x,down
Gm8697,down
Gm5614,down
Gm20568,down
Gm13215,down
Sh3bp5,down
Rpl14-ps1,down
Stk38,down
Rps14,down
Gm5321,down
Gm13192,down
Gm5805,down
1600014C10Rik,down
Nrros,down
Rpl13-ps6,down
Gm7285,down
Rcn1,down
Gm13680,down
Slc44a1,down
Rps4x-ps,down
Gm8934,down
Gm4833,down
Gm6204,down
Rpl5-ps1,down
Acss1,down
Pja1,down
Gm6794,down
Rps5,down
Rpl30,down
Snhg8,down
Rpl5-ps2,down
Rpl18a-ps1,down
Trib2,down
Gm9616,down
Rpl36,down
Rpl30-ps10,down
Gm7429,down
Rpl18a,down
Peli1,down
Btg1,down
Rpl14,down
Gm17541,down
Gm6109,down
Gm14513,down
Fnip1,down
Rps7,down
Gm8959,down
Gm8599,down
Gm20324,down
Gm5239,down
Phf11c,down
Slc25a30,down
Rpl13-ps3,down
Rpl5,down
Gm15427,down
Gm5075,down
Gm9294,down
Gm12191,down
Rpl10a,down
Tnfrsf25,down
Rpl19-ps12,down
Rplp1,down
Gm10073,down
Rpl8,down
Ifi203,down
Rpl18-ps1,down
Gm15710,down
Gm15500,down
Saraf,down
Gm5586,down
Gm6969,down
Rpl13,down
Gm13142,down
Map3k3,down
Cd47,down
Gm12918,down
Rps16,down
Idh2,down
Rpl32l,down
Dgkd,down
Fam169b,down
Cox7a2l,down
S1pr4,down
Gm5100,down
Gm8960,down
Rpl36a-ps2,down
Cnp,down
Wdr89,down
Sit1,down
Adpgk,down
Pitpnc1,down
Rpl36a,down
Rnf167,down
Rpl10a-ps1,down
Gm12816,down
Stt3b,down
Rpl3-ps2,down
Gm7600,down
Rpl10a-ps4,down
Gm5905,down
Rps9,down
Irf1,down
Foxp1,down
Rtp4,down
Tnfrsf1a,down
Rpl3,down
Rps3a2,down
Ppp2r5a,down
Chd2,down
Rpl36a-ps1,down
Rps3a1,down
Gm12466,down
Gm5879,down
Gpr180,down
Jmy,down
Parp12,down
Rps11-ps1,down
Asb13,down
Rpl19,down
Gm8172,down
Rps11,down
Ptp4a3,down
Gm20900,down
Mrpl30,down
Gm13408,down
Tecpr1,down
Dyrk2,down
Mettl9,down
Rps3a3,down
Mppe1,down
Acaa2,down
Rpl23,down
Gm10132,down
Slc12a7,down
Rpl3-ps1,down
Rplp2,down
Rpl23a-ps3,down
Rpl7-ps8,down
Rbms1,down
Gm3362,down
Gnb4,down
Rps6,down
Gm9794,down
4930453N24Rik,down
Gm10335,down
Acp5,down
Rps15-ps2,down
Gm10288,down
Tet3,down
Klk8,down
Prdx6,down
Mrm1,down
Rrp9,down
Gm11808,down
Tes,down
Gm8451,down
Smad4,down
Rps15-ps3,down
Il21r,down
Rpl7,down
Rpl11,down
Mcl1,down
Rps15,down
Eef1b2,down
Gngt2,down
Irgm1,down
Gm7331,down
Arhgef1,down
Rpl18,down
Psmb10,down
Gm6170,down
Ltb,down
Irf9,down
Rbfa,down
Rpl18-ps2,down
Tmem9b,down
Fam3c,down
Gm8692,down
Tbc1d15,down
Gm9625,down
Rgs19,down
Gm11539,down
Rplp0,down
Gm8730,down
Gm5424,down
Rnasel,down
B2m,down
Crlf3,down
Il2rg,down
Klhl6,down
Gm15484,down
Cflar,down
Ifi35,down
Sp100,down
Zbp1,down
Mrm3,down
Smim14,down
Fxyd5,down
Stat1,down
Fam189b,down
Ctss,down
Rpl4,down
Znrf1,down
Sec11a,down
Gm5835,down
Emb,down
H2-K1,down
Fth1,down
H2-D1,down