,Genes
0,RYBP
1,RPS3A
2,MAN1A2
3,UBE2Z
4,RNF5
5,ZNF501
6,CD8A
7,FOXP1
8,GBP2
9,AMDHD1
10,SBDS
11,TOGARAM1
12,TCAIM
13,NDUFA1
14,LSR
15,CDC42EP3
16,SGK1
17,KDM4C
18,FAM169A
19,UBAC2
20,NFKBIZ
21,KLHL28
22,RPL7A
23,TNFRSF10D
24,CPD
25,CTSB
26,MYO7A
27,ATG5
28,SYTL3
29,AGMAT
30,CPA4
31,GALNT10
32,CFAP20
33,TC2N
34,RSBN1L
35,RPL32
36,ELOB
37,PRKN
38,USO1
39,SEC11A
40,OSBPL5
41,CPEB4
42,SPON1
43,MCTP1
44,HCST
45,DENND2D
46,NCOA2
47,LGALS3BP
48,EEF1E1
49,KLF6
50,BFSP2
51,RASA1
52,CHMP2A
53,PIEZO1
54,TSPAN5
55,PRKCZ
56,PDIA6
57,SLAMF6
58,CMTM1
59,SUCLG2
60,BICDL1
61,FKBP8
62,CARHSP1
63,VIPR1
64,ERAP2
65,CXXC5
66,SLFN5
67,ALAS1
68,KLF11
69,INPP5F
70,STX6
71,MAD1L1
72,SMARCE1
73,MDN1
74,TUBA1A
75,FBXW4
76,ATP5F1E
77,FOXO1
78,MTFR1
79,PAWR
80,DAB1
81,PDE7B
82,CYLD
83,ZBTB20
84,CA8
85,RALGAPA1
86,SLC3A2
87,RHOB
88,ANAPC11
89,ADTRP
90,JPT1
91,GALM
92,TNFRSF1B
93,PRKCE
94,SPINT2
95,PTCH1
96,SMCHD1
97,PRPSAP2
98,DOCK8
99,GREM2
100,GPBP1L1
101,LIMS2
102,CEP128
103,PSMB9
104,B3GAT1
105,PTGES3
106,CBFA2T2
107,TCF20
108,MYLIP
109,RPS25
110,FMNL3
111,TSPOAP1
112,SYAP1
113,FKBP3
114,SNAP23
115,OGDH
116,NUMA1
117,ARID4B
118,TMEM134
119,FAM168A
120,MTMR1
121,MEAK7
122,TNFRSF4
123,IQCN
124,KIDINS220
125,PIN4
126,ZNRF2
127,HERC3
128,PBXIP1
129,ZNF253
130,SUPT4H1
131,IL16
132,POC5
133,XKRX
134,ZNF518A
135,ST6GALNAC6
136,DDX6
137,RAB5B
138,SLC7A10
139,ARID5A
140,NARS2
141,TMSB4X
142,MX1
143,RBM4
144,MFSD6
145,ZNRF1
146,FNBP1
147,SMC3
148,MAST2
149,RNF181
150,FRMD6
151,C1orf162
152,MVB12B
153,NME3
154,PLCL2
155,OXSR1
156,STK3
157,PXN
158,FAF1
159,RPL11
160,GTF2IRD2B
161,SLC39A10
162,HSPA12A
163,STMP1
164,KDM7A
165,PPP3CC
166,PSMA7
167,ZBTB8OS
168,ANK1
169,PEAK1
170,STAG1
171,ADK
172,BBX
173,PTMA
174,ABAT
175,RAB11A
176,RNF19A
177,LAMTOR2
178,NRDC
179,MRPS11
180,NDUFB1
181,NDUFA11
182,PEBP1
183,TAF3
184,MAGEH1
185,MYL6
186,DNAJC8
187,STAU2
188,ATXN2
189,TIMM13
190,RPL10A
191,LEF1
192,SNTB2
193,SENP6
194,TRAPPC9
195,GLCCI1
196,ATP8B1
197,C19orf53
198,MOB1B
199,LONP2
200,PYM1
201,PELI2
202,ARHGEF18
203,TXNDC11
204,RPL22
205,DCAF8
206,PTGER4
207,VIPR2
208,ACTG1
209,ATP6V1D
210,ATF7IP2
211,RNF130
212,TMX4
213,CFLAR
214,PXYLP1
215,RPL23A
216,YAF2
217,RPS15
218,BLOC1S1
219,MIF
220,RELL1
221,ANKRD34B
222,USP9Y
223,KIAA1671
224,DCAF11
225,AP3M2
226,PRDX2
227,CERT1
228,DSTN
229,SH2D3C
230,DPM3
231,PNRC1
232,PLCL1
233,DCP2
234,SKP1
235,RUNX3
236,HIBCH
237,SEM1
238,GIMAP7
239,INPP1
240,CDC42SE2
241,LRRC8B
242,GBP1
243,ZMAT2
244,ARPC5
245,CHGB
246,HDAC2
247,YWHAZ
248,FOS
249,NEDD8
250,ZNF234
251,ATP5IF1
252,PPFIA1
253,PTK2B
254,SARDH
255,OGT
256,RAI1
257,ADARB2
258,FOSB
259,MYH9
260,KLF7
261,PSME2
262,TAOK3
263,TPT1
264,SPAG9
265,AAK1
266,TOMM7
267,PPIB
268,CD55
269,SFPQ
270,NUDCD3
271,ESR2
272,HMBOX1
273,BTLA
274,PIP5K1A
275,SFMBT1
276,MIB1
277,THOC7
278,TENT4A
279,SLC25A3
280,DDX3Y
281,STRBP
282,GMFG
283,IL7
284,RFFL
285,ADGRE1
286,GRAMD1A
287,LCORL
288,SERPINB6
289,TULP4
290,EMB
291,CTSC
292,PRR13
293,ZFP36L1
294,SGK3
295,EIF4A3
296,FANCC
297,SLFN12L
298,ZNF827
299,SPEF2
300,PIKFYVE
301,ABLIM1
302,USP4
303,RWDD1
304,NIN
305,DENND4C
306,GALNT7
307,SLC25A5
308,ATF7
309,MCC
310,LRCH3
311,TXNIP
312,ST6GAL1
313,RPL36
314,UBN2
315,GTDC1
316,ITM2B
317,BMP2K
318,DYNLT1
319,PTPRM
320,RASGRF2
321,NACC2
322,MACF1
323,SGCE
324,CD8B
325,IER3
326,ATP5PF
327,VPS13D
328,KAT2B
329,EPSTI1
330,TPCN1
331,ATG12
332,PDE4B
333,CENPP
334,PHF11
335,EML5
336,SNX25
337,IKZF3
338,TAFA2
339,RTRAF
340,SH3BP2
341,MFHAS1
342,NPAT
343,WWP1
344,CLEC2D
345,EIF4A2
346,RPL12
347,TMEM258
348,RPL19
349,PDAP1
350,TOM1L2
351,ANKRD36
352,PCED1B
353,ARL6IP4
354,PLEKHA3
355,SMPD3
356,THADA
357,ANKH
358,RAB8B
359,RPL35A
360,BLM
361,GAB2
362,RBM23
363,RPL31
364,ABCC1
365,CLCN4
366,ADARB1
367,SLC20A2
368,FRYL
369,ZAP70
370,AKAP13
371,TNRC6C
372,TMEM245
373,NUP210
374,ZNF331
375,EGR1
376,UBE2L3
377,STK10
378,NAP1L4
379,ERCC6
380,SOD1
381,MAN1C1
382,ODC1
383,TOPBP1
384,ETFB
385,PSMA1
386,SNAPIN
387,TPK1
388,ANP32B
389,NOTCH1
390,RTKN2
391,CSNK2B
392,PPP1R7
393,SET
394,RAP1B
395,HOOK2
396,TMBIM6
397,PTPRC
398,SLAIN2
399,GDF7
400,ABHD17B
401,DDX3X
402,PSME1
403,BATF
404,RPLP0
405,SAR1B
406,FYB1
407,SS18L2
408,VGLL4
409,KLF9
410,CPQ
411,MCM9
412,ZC3HAV1
413,JUND
414,ENOSF1
415,SLC16A4
416,TVP23C
417,GALNT11
418,TRPS1
419,NINJ2
420,TSPAN3
421,PRKAR1A
422,COA1
423,ANXA1
424,PTPN4
425,EXT1
426,ARPC1B
427,USP12
428,GATAD2A
429,ACSL4
430,PRORP
431,COX7B
432,TRAF3
433,MAP7
434,TALDO1
435,CSK
436,BLK
437,BRK1
438,CLIC1
439,LDLRAP1
440,DNAJB6
441,RESF1
442,RPS27A
443,YME1L1
444,ARID5B
445,ZFPM1
446,PTPN11
447,ZBTB25
448,AKAP6
449,TRAFD1
450,NIPA1
451,AFF3
452,AFTPH
453,AREG
454,TFCP2
455,LPIN2
456,NSD1
457,ARIH1
458,PRPF39
459,NCKAP1
460,PEPD
461,CLIP1
462,CREBRF
463,LPP
464,GPR65
465,CERS6
466,ZFAND5
467,ASB3
468,MAP3K5
469,RAB43
470,ATP9B
471,SSBP3
472,BTBD9
473,CCT3
474,LRRC4
475,ATOX1
476,MPP7
477,GPR183
478,TAX1BP3
479,AOPEP
480,POMT1
481,MYO5A
482,CMTM6
483,MYBL1
484,CCNH
485,MRTFA
486,TMEM205
487,NPIPB4
488,IL2RA
489,HCLS1
490,GFOD1
491,RPL23
492,TCP11L2
493,KCNQ5
494,HAL
495,DTHD1
496,MTCH2
497,CDC14A
498,CBX3
499,AP2S1
500,YWHAE
501,LIPC
502,MTUS1
503,CLEC16A
504,PIK3CD
505,SFMBT2
506,PDE7A
507,SELL
508,STAT4
509,NFATC1
510,COX17
511,CHFR
512,ZNF75D
513,PHF21A
514,SNX5
515,MBOAT1
516,ERP27
517,ZFAND6
518,C19orf25
519,RAPGEF2
520,TMEM50A
521,GNG4
522,CASD1
523,SLC46A3
524,RO60
525,RPL30
526,TRIM22
527,KLHDC4
528,FAM78B
529,MICOS10
530,TSC22D4
531,SHOC2
532,SLC16A14
533,MED14
534,CDKAL1
535,USP3
536,AMD1
537,MPV17L2
538,ITM2A
539,ARHGAP15
540,PHF23
541,EMID1
542,ATP5MC1
543,TOMM6
544,CCR9
545,OST4
546,UBB
547,RABGAP1L
548,PUM1
549,BACH1
550,SAMHD1
551,NDUFB2
552,SRGAP3
553,TRAF5
554,SPSB1
555,HSP90AA1
556,RAB3GAP2
557,SIVA1
558,RSRC1
559,CAMK1D
560,UBL5
561,ASMTL
562,HMGN2
563,RPS24
564,GPR137B
565,SNRPG
566,ANKRD44
567,JAK3
568,PRKAA1
569,ARL5A
570,FERMT3
571,ATP6V0D1
572,TIGIT
573,THEM4
574,KPNB1
575,RCSD1
576,PIK3CA
577,GCNT2
578,COMMD1
579,CELF2
580,QSER1
581,ZNF322
582,CPM
583,SMYD3
584,SEC11C
585,MGAT5
586,NFATC3
587,OTUD7B
588,STS
589,ZNF280D
590,PRDX1
591,ELK4
592,HINT1
593,SYDE2
594,GPR132
595,VCP
596,AGFG1
597,SLC30A6
598,RPS12
599,MEF2A
600,TMEM218
601,MCCC2
602,CDV3
603,MCL1
604,NKTR
605,SERP1
606,SMCO4
607,TRAPPC1
608,SYT11
609,AHR
610,XPO6
611,NR4A1
612,SSX2IP
613,GPATCH8
614,ERAP1
615,SLFN11
616,BLCAP
617,PARP4
618,FCHSD2
619,ATP5ME
620,PSD4
621,ROMO1
622,HIGD2A
623,ZFAND3
624,TESPA1
625,NOL4L
626,CLK1
627,IQCH
628,CDYL2
629,NUP58
630,N4BP3
631,PSTPIP1
632,APP
633,NDUFS5
634,RPS27L
635,NPEPPS
636,SEC63
637,PDE4D
638,JAZF1
639,GPM6B
640,AFF2
641,DYNLRB1
642,TAFA1
643,HIVEP3
644,RBX1
645,ZMYM2
646,NDUFA12
647,RNF149
648,KLHL22
649,AHNAK
650,DNAJB14
651,CDK14
652,SNX9
653,WNT6
654,PITPNM2
655,PDIA4
656,EGLN2
657,TRDMT1
658,GABPB2
659,ITSN2
660,TCHP
661,CAV1
662,PON2
663,ID3
664,RMND1
665,RBBP4
666,ETS1
667,C22orf39
668,STX11
669,TRMT112
670,RIPOR2
671,R3HDM1
672,MYO1B
673,HMGB1
674,WASF2
675,ZSCAN30
676,ITGAE
677,GNAS
678,SCAPER
679,CLIP4
680,RNF216
681,CNIH3
682,ZNF276
683,ZC3H12D
684,CLYBL
685,ZC3H12B
686,TXNL1
687,THEMIS
688,PTPN1
689,IMMP2L
690,EIF5A
691,RASGRP2
692,HSD17B10
693,LAT
694,ZBTB10
695,GTF3C1
696,KCNK5
697,UTRN
698,PSMB3
699,MIEN1
700,NUAK2
701,ZCCHC7
702,PARP15
703,RPL37
704,PTPN22
705,MIA2
706,SVIL
707,MAP3K4
708,OAS3
709,SEPTIN6
710,RBMS1
711,SUGP2
712,ACTA2
713,RICTOR
714,JUNB
715,RERE
716,STK32B
717,GTF2B
718,ZMYM4
719,IFNGR1
720,MORF4L2
721,PRKRA
722,TIFA
723,ANKRD13A
724,RASGRP1
725,SDCBP
726,UGCG
727,SYF2
728,ARHGEF6
729,RYK
730,STAT3
731,KDM4A
732,CD247
733,DPP4
734,FAM110C
735,SOCS3
736,TSPO
737,ZFYVE16
738,HLA-B
739,NDUFB4
740,AMMECR1
741,MRPS12
742,TTC7A
743,MYL12B
744,TAF4B
745,FBXO34
746,IL15RA
747,ZMAT3
748,NT5DC1
749,USP36
750,PPARD
751,SAMD12
752,AMPH
753,DMAC1
754,LINS1
755,SLC38A1
756,SESN1
757,CNKSR3
758,FMNL1
759,FGD3
760,INPP4B
761,LBH
762,MAP4K1
763,E2F3
764,RPS26
765,ARF6
766,MYC
767,CCDC88C
768,YBX3
769,GABARAPL2
770,MLF1
771,CHST11
772,POMP
773,SLF2
774,ARHGEF12
775,FYCO1
776,PTPRJ
777,TIPRL
778,LSM7
779,ATP6V0E1
780,NBEAL1
781,NOS1AP
782,DNAJA1
783,HLA-E
784,PDE5A
785,STAMBP
786,PFDN5
787,HLA-DMA
788,CORO1B
789,XXYLT1
790,SARAF
791,RPS20
792,PIAS1
793,FBRS
794,RASA2
795,PTP4A2
796,RAP1A
797,ALKBH7
798,ZNF251
799,CDC27
800,TOP2A
801,FRMD4A
802,VDAC1
803,AURKAIP1
804,ACVR2A
805,GLRX
806,B3GNT5
807,SRGN
808,SH2D1A
809,PLXNC1
810,AEBP2
811,GSAP
812,RPA3
813,RAB8A
814,NAV1
815,PCNX1
816,APBB2
817,PIK3C2A
818,EML4
819,RPL36AL
820,NLK
821,CD47
822,LHFPL2
823,PTPN7
824,ANKRD10
825,ALOX5AP
826,RPS27
827,TSPYL1
828,CSRNP2
829,PDS5B
830,PTPN13
831,BACH2
832,TMEM71
833,NRBP1
834,PRKCH
835,FUT8
836,EP300
837,HYKK
838,USP25
839,TANK
840,ZC3H8
841,MTPN
842,ERBIN
843,UGP2
844,SNX30
845,DENND5A
846,TRRAP
847,ATP8A1
848,FKBP5
849,NCK2
850,LRP8
851,MOB1A
852,NEK10
853,KDM5B
854,CBR4
855,FNDC3B
856,C18orf32
857,RPS18
858,TMCO1
859,CCDC92
860,GNAO1
861,FOXO3
862,IL18R1
863,CHD4
864,RNFT1
865,TMA7
866,CRIM1
867,WWOX
868,ZNF608
869,HIP1
870,SRPK1
871,UQCR11
872,MRTFB
873,GYPC
874,PTPN14
875,NDUFA3
876,TMEM200A
877,SMDT1
878,TNFAIP3
879,RTN3
880,KDSR
881,SLC6A6
882,PCSK7
883,MYO1E
884,PLCG2
885,RPL39
886,ATAD2B
887,NCOR2
888,DHX16
889,WNK1
890,PPP4R3A
891,LIMS1
892,SEC61B
893,DCTN2
894,PDE8A
895,TNRC6B
896,RPL28
897,TMEM87A
898,ETV6
899,RORA
900,MED15
901,CPT1A
902,RPS2
903,PRKX
904,IL7R
905,DDT
906,HSPB1
907,CRY1
908,GCNT4
909,DNAJC16
910,IFIT1
911,TRIM13
912,PAG1
913,FAM117A
914,VCPIP1
915,PSMA3
916,ALDH1A2
917,LASP1
918,ZNF544
919,POLA2
920,TMF1
921,GSDMB
922,SDHAF2
923,GRB10
924,ECE1
925,PIK3IP1
926,UBTD2
927,DNAH6
928,LTA4H
929,DPEP2
930,HECTD4
931,BCR
932,SLC20A1
933,SKI
934,TXN2
935,SLC2A3
936,RNF157
937,KAT6B
938,ST3GAL1
939,PLCG1
940,TMEM220
941,DGKZ
942,ME3
943,NR4A2
944,PVALB
945,CACNA1I
946,NOP58
947,HHAT
948,UBE3C
949,RPS8
950,NHLRC3
951,FAS
952,RAB27A
953,PRDM1
954,LZTFL1
955,UBE2I
956,KSR2
957,SRBD1
958,PTTG1
959,SORL1
960,DYNLL1
961,F13A1
962,PPP1CC
963,ERH
964,GLRX3
965,PCBP3
966,MRPS21
967,CAMTA1
968,GADD45B
969,KMT5A
970,SPON2
971,BCL11B
972,TNFRSF10A
973,NACA
974,PSMC4
975,CKLF
976,ANKIB1
977,POU2AF1
978,GK
979,CECR2
980,URI1
981,CAMSAP1
982,UBE2E3
983,PLEKHF1
984,GTF2H5
985,PLSCR1
986,EIF1
987,GAPDH
988,CCND3
989,COG5
990,ANAPC7
991,METTL4
992,PPP3CA
993,ARHGAP5
994,PARP8
995,NFATC2
996,LPXN
997,ITK
998,DEUP1
999,UBE2W
1000,PRKCB
1001,FAM162A
1002,RBBP8
1003,JUN
1004,RPLP2
1005,SIRPD
1006,ATP5MC2
1007,ARHGEF3
1008,ELL2
1009,RPS14
1010,ABHD6
1011,CD3G
1012,AKNA
1013,GNG2
1014,CDC37L1
1015,BCAT1
1016,NAMPT
1017,APOLD1
1018,HECA
1019,DDX5
1020,IFIH1
1021,ICOS
1022,HBP1
1023,IL4R
1024,DYRK2
1025,MCUB
1026,CREB3L2
1027,ESYT2
1028,POC1B
1029,SATB1
1030,WDR74
1031,SEC13
1032,P3H2
1033,ZBTB38
1034,GRK2
1035,UPF3A
1036,RAB10
1037,TET3
1038,PLK3
1039,FAM222B
1040,NDUFB7
1041,NFAT5
1042,NDUFA7
1043,DENND6A
1044,TEAD1
1045,RPS5
1046,ITPR1
1047,ARPC2
1048,ELMO1
1049,PCGF5
1050,TBC1D4
1051,EMP3
1052,BBS9
1053,MECP2
1054,TARBP1
1055,CCDC12
1056,IL6ST
1057,IRF2BP2
1058,PDCD1
1059,IL4
1060,ATXN1
1061,ARPC4
1062,XRCC6
1063,CSKMT
1064,IGSF11
1065,DDX60
1066,SCGB3A1
1067,RHEB
1068,PBX3
1069,ANK3
1070,CERS5
1071,CYTIP
1072,PPP2CA
1073,DUSP1
1074,ACACA
1075,EIF4A1
1076,PELI1
1077,KPNA3
1078,LGMN
1079,JAK1
1080,SH3TC1
1081,DPYD
1082,TUBA4A
1083,MRPS7
1084,LUZP1
1085,NFIA
1086,TMEM60
1087,PABPC1
1088,SETD3
1089,FABP5
1090,IFRD1
1091,MAP2K1
1092,NUDT22
1093,LYST
1094,CHD3
1095,CAPZA2
1096,MAPKAPK3
1097,PER1
1098,SPAST
1099,ATP5PD
1100,CD84
1101,USP53
1102,RHOBTB3
1103,EXOC6B
1104,SMG1
1105,PRKCA
1106,ZBTB1
1107,CLEC7A
1108,C11orf54
1109,PLD3
1110,PIP4K2A
1111,RPS21
1112,DNMT3A
1113,ATXN7
1114,IQGAP1
1115,ATP5PO
1116,ATM
1117,SPATA6L
1118,ZC2HC1A
1119,ARPC3
1120,HNRNPH1
1121,DCAF5
1122,TNS4
1123,PHYKPL
1124,EDF1
1125,NSMCE1
1126,RPS29
1127,CCDC125
1128,NUP43
1129,NME2
1130,SGMS1
1131,GSTM3
1132,ASXL1
1133,EHMT1
1134,MIPEP
1135,STK24
1136,GIMAP8
1137,PRDX5
1138,HELB
1139,B4GALT1
1140,PHC3
1141,PHACTR2
1142,SPCS2
1143,LSM2
1144,YIF1A
1145,PHF20L1
1146,SYNE1
1147,GGNBP2
1148,ZFHX3
1149,BSG
1150,MEF2D
1151,ERO1A
1152,PUDP
1153,MEAF6
1154,RANBP2
1155,ATP2B4
1156,CMTM7
1157,IKZF2
1158,SP100
1159,ST8SIA1
1160,ACTR3C
