"id","matched_gene","matched_via","source"
"0856_anti-Tau_Phospho_(Thr181)",NA,"THR181",NA
"1055_anti-c-Met","MET","1055_ANTI-C-MET",NA
"B7-H4","VTCN1","B7-H4",NA
"CD10","MME","CD10","aliases"
"CD101_(BB27)","CD101","CD101","approved"
"CD103_(Integrin_alphaE)","ITGAE","CD103","aliases"
"CD106","VCAM1","CD106","aliases"
"CD107a_(LAMP-1)","LAMP1","LAMP-1","approved"
"CD112_(Nectin-2)","NECTIN2","NECTIN-2","approved"
"CD117_(c-kit)","KIT","CD117","aliases"
"CD11a","ITGAL","CD11A","previous"
"CD11b","ITGAM","CD11B","previous"
"CD11c","ITGAX","CD11C","previous"
"CD122_(IL-2Rbeta)","IL2RB","CD122","aliases"
"CD123","IL3RA","CD123","aliases"
"CD124_(IL-4Ralpha)","IL4R","CD124","aliases"
"CD127_(IL-7Ralpha)","IL7R","CD127","aliases"
"CD133","PROM1","CD133","aliases"
"CD137L_(4-1BB_Ligand)","TNFSF9","CD137L",NA
"CD137_(4-1BB)","TNFRSF9","CD137","aliases"
"CD138_(Syndecan-1)","SDC1","CD138","aliases"
"CD14","CD14","CD14","approved"
"CD141_(Thrombomodulin)","THBD","CD141","aliases"
"CD144_(VE-Cadherin)","CDH5","CD144","aliases"
"CD146","MCAM","CD146","aliases"
"CD150_(SLAM)","SLAMF1","SLAM","previous"
"CD152_(CTLA-4)","CTLA4","CTLA-4","approved"
"CD154","CD40LG","CD154","aliases"
"CD155_(PVR)","PVR","PVR","approved"
"CD158_(KIR2DL1_S1_S3_S5)","KIR2DL1","CD158",NA
"CD158b_(KIR2DL2_L3___NKAT2)","KIR2DL2","CD158B",NA
"CD158e1_(KIR3DL1__NKB1)","KIR3DL1","CD158E",NA
"CD158f_(KIR2DL5)","KIR2DL5A","CD158F","aliases"
"CD15_(SSEA-1)","FUT4","CD15","previous"
"CD16","FCGR3A","CD16","aliases"
"CD161","KLRB1","CD161","aliases"
"CD163","CD163","CD163","approved"
"CD169_(Sialoadhesin__Siglec-1)","SIGLEC1","CD169","aliases"
"CD178_(Fas-L)","FASLG","CD178","aliases"
"CD18","ITGB2","CD18","previous"
"CD183_(CXCR3)","CXCR3","CXCR3","approved"
"CD184_(CXCR4)","CXCR4","CXCR4","approved"
"CD185_(CXCR5)","CXCR5","CXCR5","approved"
"CD19","CD19","CD19","approved"
"CD193_(CCR3)","CCR3","CCR3","approved"
"CD194_(CCR4)","CCR4","CCR4","approved"
"CD195_(CCR5)","CCR5","CCR5","approved"
"CD196_(CCR6)","CCR6","CCR6","approved"
"CD197_(CCR7)","CCR7","CCR7","approved"
"CD1a","CD1A","CD1A","approved"
"CD1c","CD1C","CD1C","approved"
"CD1d","CD1D","CD1D","approved"
"CD2","CD2","CD2","approved"
"CD20","MS4A1","CD20","previous"
"CD204","MSR1","CD204","aliases"
"CD206_(MMR)","MRC1","CD206","aliases"
"CD207","CD207","CD207","approved"
"CD209_(DC-SIGN)","CD209","CD209","approved"
"CD21","CR2","CD21","aliases"
"CD22","CD22","CD22","approved"
"CD223_(LAG-3)","LAG3","LAG-3","approved"
"CD224","GGT1","CD224","aliases"
"CD226_(DNAM-1)","CD226","CD226","approved"
"CD23","FCER2","CD23","aliases"
"CD235ab","GYPA","CD235A","aliases"
"CD24","CD24","CD24","approved"
"CD244_(2B4)","CD244","CD244","approved"
"CD25","IL2RA","CD25","aliases"
"CD252_(OX40L)","TNFSF4","CD252","aliases"
"CD254_(TRANCE__RANKL)","TNFSF11","CD254","aliases"
"CD257_(BAFF__BLYS)","TNFSF13B","CD257","aliases"
"CD258_(LIGHT)","TNFSF14","CD258","aliases"
"CD26","DPP4","CD26","previous"
"CD267_(TACI)","TNFRSF13B","CD267","aliases"
"CD268_(BAFF-R)","TNFRSF13C","CD268","aliases"
"CD269_(BCMA)","TNFRSF17","BCMA","previous"
"CD27","CD27","CD27","approved"
"CD272_(BTLA)","BTLA","BTLA","approved"
"CD273__(B7-DC__PD-L2)","PDCD1LG2","CD273","aliases"
"CD274_(B7-H1__PD-L1)","CD274","CD274","approved"
"CD275_(B7-H2__ICOSL)","ICOSLG","CD275","aliases"
"CD278_(ICOS)","ICOS","ICOS","approved"
"CD279_(PD-1)","PDCD1","CD279","aliases"
"CD28","CD28","CD28","approved"
"CD29","ITGB1","CD29","aliases"
"CD294_(CRTH2)","PTGDR2","CD294","aliases"
"CD3","CD247","CD3",NA
"CD30","TNFRSF8","CD30","previous"
"CD303_(BDCA-2)","CLEC4C","CD303","aliases"
"CD304_(Neuropilin-1)","NRP1","CD304","aliases"
"CD305_(LAIR1)","LAIR1","LAIR1","approved"
"CD307d_(FcRL4)","FCRL4","FCRL4","approved"
"CD307e_(FcRL5)","FCRL5","FCRL5","approved"
"CD309_(VEGFR2)","KDR","CD309","aliases"
"CD31","PECAM1","CD31","aliases"
"CD314_(NKG2D)","KLRK1","CD314","aliases"
"CD319_(CRACC)","SLAMF7","CD319","aliases"
"CD32","FCGR2A","CD32","aliases"
"CD324_(E-Cadherin)","CDH1","CD324","aliases"
"CD326_(Ep-CAM)","EPCAM","EP-CAM","approved"
"CD328_(Siglec-7)","SIGLEC7","SIGLEC-7","approved"
"CD33","CD33","CD33","approved"
"CD335_(NKp46)","NCR1","CD335","aliases"
"CD336_(NKp44)","NCR2","CD336","aliases"
"CD337_(NKp30)","NCR3","CD337","aliases"
"CD34","CD34","CD34","approved"
"CD35","CR1","CD35","aliases"
"CD357_(GITR)","TNFRSF18","CD357","aliases"
"CD36","CD36","CD36","approved"
"CD360_(IL-21R)","IL21R","IL-21R","approved"
"CD366_(Tim-3)","HAVCR2","CD366",NA
"CD370_(CLEC9A_DNGR1)","CLEC9A","CD370","aliases"
"CD38","CD38","CD38","approved"
"CD39","ENTPD1","CD39","previous"
"CD4","CD4","CD4","approved"
"CD40","CD40","CD40","approved"
"CD41","ITGA2B","CD41","aliases"
"CD44","CD44","CD44","approved"
"CD45","PTPRC","CD45","previous"
"CD45RA","PTPRC","CD45R","aliases"
"CD45RO","PTPRC","CD45R","aliases"
"CD47","CD47","CD47","approved"
"CD49b","ITGA2","CD49B","previous"
"CD49d","ITGA4","CD49D","previous"
"CD49f","ITGA6","CD49F","aliases"
"CD5","CD5","CD5","approved"
"CD52","CD52","CD52","approved"
"CD54","ICAM1","CD54","aliases"
"CD56_(NCAM)","NCAM1","CD56","aliases"
"CD57_Recombinant","B3GAT1","CD57","previous"
"CD58_(LFA-3)","CD58","CD58","approved"
"CD62L","SELL","CD62L","aliases"
"CD62P_(P-Selectin)","SELP","CD62P","aliases"
"CD64","FCGR1A","CD64","aliases"
"CD66a_c_e","CEACAM1","CD66A","aliases"
"CD66b","CEACAM8","CD66B","aliases"
"CD69","CD69","CD69","approved"
"CD7","CD7","CD7","approved"
"CD70","CD70","CD70","approved"
"CD71","TFRC","CD71","aliases"
"CD73_(Ecto-5-nucleotidase)","NT5E","CD73","aliases"
"CD79b_(Igbeta)","CD79B","CD79B","approved"
"CD8","CD8A","CD8","previous"
"CD80","CD80","CD80","approved"
"CD81_(TAPA-1)","CD81","CD81","approved"
"CD82","CD82","CD82","approved"
"CD83","CD83","CD83","approved"
"CD85j_(ILT2)","LILRB1","CD85J","aliases"
"CD86","CD86","CD86","approved"
"CD88_(C5aR)","C5AR1","CD88","aliases"
"CD90_(Thy1)","THY1","THY1","approved"
"CD94","KLRD1","CD94","previous"
"CD95_(Fas)","FAS","FAS","approved"
"CD96_(TACTILE)","CD96","CD96","approved"
"CD98","SLC7A5","CD98","aliases"
"CD99","CD99","CD99","approved"
"CLEC12A","CLEC12A","CLEC12A","approved"
"CX3CR1","CX3CR1","CX3CR1",NA
"DR3_(TRAMP)","TNFRSF25","TRAMP",NA
"FcepsilonRIalpha","FCER1A","FCEPSILONRIALPHA",NA
"GARP_(LRRC32)","LRRC32","LRRC32",NA
"HLA-A2","HLA-A","HLA-A2",NA
"HLA-A_B_C",NA,"HLA-A_B_C",NA
"HLA-DR",NA,"HLA-DR",NA
"HLA-F","HLA-F","HLA-F",NA
"IgA","CD79A","IGA","previous"
"IgD","IGHD","IGD",NA
"IgG1__kappa_isotype_Ctrl",NA,"IGG1__KAPPA_ISOTYPE_CTRL",NA
"IgG2a__kappa_isotype_Ctrl",NA,"IGG2A__KAPPA_ISOTYPE_CTRL",NA
"IgG2b__kappa_Isotype_Ctrl",NA,"IGG2B__KAPPA_ISOTYPE_CTRL",NA
"IgG2b__kappa_isotype_Ctrl",NA,"IGG2B__KAPPA_ISOTYPE_CTRL",NA
"IgG_Fc",NA,"IGG_FC",NA
"IgM","IGHM","IGM",NA
"Ig_light_chain_kappa","IGKC","IG_LIGHT_CHAIN_KAPPA",NA
"Ig_light_chain_lambda","IGLC1","IG_LIGHT_CHAIN_LAMBDA",NA
"KLRG1_(MAFA)","KLRG1","MAFA",NA
"LOX-1","OLR1","LOX-1",NA
"Mac-2_(Galectin-3)","LGALS3","GALECTIN-3",NA
"NLRP2","NLRP2","NLRP2",NA
"Podocalyxin","PODXL","PODOCALYXIN",NA
"Podoplanin","PDPN","PODOPLANIN",NA
"TCR_Valpha24-Jalpha18_(iNKT_cell)",NA,"INKT_CELL",NA
"TCR_Valpha7.2",NA,"TCR_VALPHA7.2",NA
"TCR_Vbeta13.1",NA,"TCR_VBETA13.1",NA
"TCR_Vdelta2",NA,"TCR_VDELTA2",NA
"TCR_Vgamma9",NA,"TCR_VGAMMA9",NA
"TCR_alpha_beta",NA,"TCR_ALPHA_BETA",NA
"TCR_gamma_delta",NA,"TCR_GAMMA_DELTA",NA
"TIGIT_(VSTM3)","TIGIT","VSTM3",NA
"TSLPR_(TSLP-R)","CRLF2","TSLP-R",NA
"XCR1","XCR1","XCR1",NA
"integrin_beta7","ITGB7","INTEGRIN_BETA7",NA
